"Nov 01, 2023 - Nov 30, 2023",,,,,,
Top Products By Profit,,,,,,
Top Products By Quantity,,,,,,
Product,Quantity,Unit Cost,Unit Price,% Gross Sales,COGS,Gross Profit
Bottled Water Drinks,5,$0.00,$2.00,0.03%,$0.00,$10.00
Pork Thakali Thali Lunch Special,4,$0.00,$22.00,0.26%,$0.00,$88.00
Impossible Momo Chilli Veg Mo: Mo,4,$0.00,$17.00,0.20%,$0.00,$68.00
Pork Momo Jhol Non-Veg Mo: Mo,4,$0.00,$17.00,0.20%,$0.00,$68.00
Pork Momo Fried Non-Veg Mo: Mo,4,$0.00,$16.00,0.19%,$0.00,$64.00
Buff Momo Fried Non-Veg Mo: Mo,4,$0.00,$16.00,0.19%,$0.00,$64.00
Buff Momo Jhol Non-Veg Mo: Mo,4,$0.00,$16.00,0.19%,$0.00,$64.00
"Shrimp Hakka Noodles Non-Veg Rice, Noodles and Flatbreads",4,$0.00,$16.00,0.19%,$0.00,$64.00
Mushroom Korma Veg Curries - Served with Rice,4,$0.00,$14.00,0.17%,$0.00,$56.00
Hot and Numb Potato Veg-Appetizers,4,$0.00,$14.00,0.17%,$0.00,$56.00
Bhindi Masala Veg Curries - Served with Rice,4,$0.00,$14.00,0.17%,$0.00,$56.00
Saag (Mustard or Spinach Greens) Veg Curries - Served with Rice,4,$0.00,$14.00,0.17%,$0.00,$56.00
Apple Juice Drinks,4,$0.00,$3.00,0.04%,$0.00,$12.00
Papad Papadam (2 Pieces) Add-On,4,$0.00,$2.00,0.02%,$0.00,$8.00
Lamb Thakali Thali Lunch Special,3,$0.00,$22.00,0.20%,$0.00,$66.00
Goat Thakali Thali Lunch Special,3,$0.00,$22.00,0.20%,$0.00,$66.00
"Goat Fried Rice Non-Veg Rice, Noodles and Flatbreads",3,$0.00,$18.00,0.16%,$0.00,$54.00
Pork Curry Non-Veg Authentic Nepali Curries,3,$0.00,$18.00,0.16%,$0.00,$54.00
Chicken Choila Non-Veg Sekuwa and More (Authentic Nepali Barbecue),3,$0.00,$18.00,0.16%,$0.00,$54.00
Impossible Momo Jhol Veg Mo: Mo,3,$0.00,$17.00,0.15%,$0.00,$51.00
Pork Momo Kothey Non-Veg Mo: Mo,3,$0.00,$17.00,0.15%,$0.00,$51.00
Buff Momo Kothey Non-Veg Mo: Mo,3,$0.00,$17.00,0.15%,$0.00,$51.00
Buff Momo Jhol Non-Veg Mo: Mo,3,$0.00,$17.00,0.15%,$0.00,$51.00
"Pork Fried Rice Non-Veg Rice, Noodles and Flatbreads",3,$0.00,$16.00,0.14%,$0.00,$48.00
Pork Momo Chilli Non-Veg Mo: Mo,3,$0.00,$16.00,0.14%,$0.00,$48.00
Butter Garlic Fish Non -Veg- Appetizers,3,$0.00,$15.00,0.13%,$0.00,$45.00
Tomato Soup Veg-Soups,3,$0.00,$12.00,0.11%,$0.00,$36.00
Egg Addon Add-On,3,$0.00,$3.00,0.03%,$0.00,$9.00
Jhol Extra Add-On,3,$0.00,$2.00,0.02%,$0.00,$6.00
test Veg-Soups,3,$0.00,$0.01,0.00%,$0.00,$0.03
Buff Sekuwa Non-Veg Sekuwa and More (Authentic Nepali Barbecue),2,$0.00,$22.00,0.13%,$0.00,$44.00
Lamb Vindaalu Non Veg Curries,2,$0.00,$20.00,0.12%,$0.00,$40.00
Fish Thakali Thali Lunch Special,2,$0.00,$20.00,0.12%,$0.00,$40.00
Buff Sekuwa Non-Veg Sekuwa and More (Authentic Nepali Barbecue),2,$0.00,$20.00,0.12%,$0.00,$40.00
Lamb Sekuwa Non-Veg Sekuwa and More (Authentic Nepali Barbecue),2,$0.00,$20.00,0.12%,$0.00,$40.00
Buff Thukpa Non-Vegetarian Soups,2,$0.00,$20.00,0.12%,$0.00,$40.00
